url,page_type,depth,incoming_links,status
/puppies/mauve-female,STRONG_INDEXABLE,2,2,200
/puppies/zoey-female-1,STRONG_INDEXABLE,2,2,200
/puppies/ziggy-female,STRONG_INDEXABLE,2,2,200
/puppies/indigo-male,STRONG_INDEXABLE,2,2,200
/puppies/milo-male-9,STRONG_INDEXABLE,2,2,200
/puppies/milo-male-8,STRONG_INDEXABLE,2,2,200
/puppies/nova-female-2,STRONG_INDEXABLE,2,2,200
/puppies/rosie-female-2,STRONG_INDEXABLE,2,2,200
/puppies/pippa-female-2,STRONG_INDEXABLE,2,2,200
/puppies/esme-female-2,STRONG_INDEXABLE,2,2,200
/puppies/teddy-female-5,STRONG_INDEXABLE,2,2,200
/puppies/dustin-male-1,STRONG_INDEXABLE,2,2,200
/puppies/bentley-male-5,STRONG_INDEXABLE,2,2,200
/puppies/koda-male,STRONG_INDEXABLE,2,2,200
/puppies/chanel-female-2,STRONG_INDEXABLE,2,2,200
/puppies/dolores-female-3,STRONG_INDEXABLE,2,2,200
/puppies/monty-male-4,STRONG_INDEXABLE,2,2,200
/puppies/emma-female-3,STRONG_INDEXABLE,2,2,200
/puppies/theo-male-2,STRONG_INDEXABLE,2,2,200
/puppies/lala-female-4,STRONG_INDEXABLE,2,2,200
/puppies/sandy-male,STRONG_INDEXABLE,2,2,200
/puppies/stella-female-5,STRONG_INDEXABLE,2,2,200
/puppies/sienna-female,STRONG_INDEXABLE,2,2,200
/puppies/taylor-male-1,STRONG_INDEXABLE,2,2,200
/puppies/lyra-female-6,STRONG_INDEXABLE,2,2,200
/puppies/luna-female-1,STRONG_INDEXABLE,2,2,200
/puppies/cinnamon-female-4,STRONG_INDEXABLE,2,2,200
/puppies/mitch-male-1,STRONG_INDEXABLE,2,2,200
/puppies/ewan-male-4,STRONG_INDEXABLE,2,2,200
/puppies/amelia-female-5,STRONG_INDEXABLE,2,2,200
/puppies/isabella-female-1,STRONG_INDEXABLE,2,2,200
/puppies/toto-male-1,STRONG_INDEXABLE,2,2,200
/puppies/puffin-female-3,STRONG_INDEXABLE,2,2,200
/puppies/valentina-female-2,STRONG_INDEXABLE,2,2,200
/puppies/mochi-female-4,STRONG_INDEXABLE,2,2,200
